id;original_name;genus;species;species_auth;infrasp1_rank;infrasp1;infrasp1_auth;infrasp2_rank;infrasp2;infrasp2_auth
26546;Viola canina L. subsp. montana auct.;Viola;canina;L.;subsp;montana;auct.;;;
26547;Viola canina L. subsp. ruppii (All.) Schübl. & G.Martens;Viola;canina;L.;subsp;ruppii;(All. ) Schubl. & G. Martens;;;
26548;Viola canina L. subsp. schultzii (Billot) Döll;Viola;canina;L.;subsp;schultzii;(Billot) Doll;;;
26549;Viola canina L. var. adunca (Sm.) A.Gray;Viola;canina;L.;var;adunca;(Sm. ) A. Gray;;;
26550;Viola cavillieri W.Becker;Viola;cavillieri;W. Becker;;;;;;
26551;Viola cervatiana Ricceri & Moraldo;Viola;cervatiana;Ricceri & Moraldo;;;;;;
26552;Viola cilentana Ricceri & Moraldo;Viola;cilentana;Ricceri & Moraldo;;;;;;
26553;Viola corsica Nyman subsp. ilvensis (W.Becker) Merxm.;Viola;corsica;Nyman;subsp;ilvensis;(W. Becker) Merxm.;;;
26554;Viola corsica Nyman subsp. limbarae Merxm. & W.Lippert;Viola;corsica;Nyman;subsp;limbarae;Merxm. & W. Lippert;;;
26555;Viola cucullata Aiton var. palmata (L.) A.Gray;Viola;cucullata;Aiton;var;palmata;(L. ) A. Gray;;;
26556;Viola cucullata Aiton var. sororia (Willd.) Torr. & A.Gray;Viola;cucullata;Aiton;var;sororia;(Willd. ) Torr. & A. Gray;;;
26557;Viola cucullata auct., non Aiton;Viola;cucullata;auct. , non Aiton;;;;;;
26558;Viola declinata sensu Gaudin;Viola;declinata;sensu Gaudin;;;;;;
26559;Viola dehnhardtii Ten.;Viola;dehnhardtii;Ten.;;;;;;
26560;Viola ferdinandea Pisani, Moraldo & Ricceri;Viola;ferdinandea;Pisani, Moraldo & Ricceri;;;;;;
26561;Viola frusinatae Ricceri & Moraldo;Viola;frusinatae;Ricceri & Moraldo;;;;;;
26562;Viola gaviolii Ricceri & Moraldo;Viola;gaviolii;Ricceri & Moraldo;;;;;;
26563;Viola gracilis Sm. var. aethnensis (Ging. & DC.) Guss.;Viola;gracilis;Sm.;var;aethnensis;(Ging. & DC. ) Guss.;;;
26564;Viola graeca auct. Fl. Ital.;Viola;graeca;auct. Fl. Ital.;;;;;;
26565;Viola heterophylla Bertol. subsp. graeca auct. Fl. Ital.;Viola;heterophylla;Bertol.;subsp;graeca;auct. Fl. Ital.;;;
26566;Viola heterophylla Bertol. subsp. ilvensis W.Becker;Viola;heterophylla;Bertol.;subsp;ilvensis;W. Becker;;;
26567;Viola heterophylla Bertol. subsp. messanensis (W.Becker) W.Becker;Viola;heterophylla;Bertol.;subsp;messanensis;(W. Becker) W. Becker;;;
26568;Viola heterophylla Bertol. var. messanensis W.Becker;Viola;heterophylla;Bertol.;var;messanensis;W. Becker;;;
26569;Viola heterophylla Bertol., nom. illeg.;Viola;heterophylla;Bertol. , nom. illeg.;;;;;;
26570;Viola levieri Parl.;Viola;levieri;Parl.;;;;;;
26571;Viola longipetiolata Ricceri & Moraldo;Viola;longipetiolata;Ricceri & Moraldo;;;;;;
26572;Viola molisana Ricceri & Moraldo;Viola;molisana;Ricceri & Moraldo;;;;;;
26573;Viola murronensis Ricceri & Moraldo;Viola;murronensis;Ricceri & Moraldo;;;;;;
26574;Viola nemoralis Kütz.;Viola;nemoralis;Kutz.;;;;;;
26575;Viola nummulariifolia All.;Viola;nummulariifolia;All.;;;;;;
26576;Viola obliqua auct. p.p., non Hill;Viola;obliqua;auct. p. p. , non Hill;;;;;;
26577;Viola obliqua auct. p.p., non Hill;Viola;obliqua;auct. p. p. , non Hill;;;;;;
26578;Viola palmata L. var. cucullata (Aiton) A.Gray;Viola;palmata;L.;var;cucullata;(Aiton) A. Gray;;;
26579;Viola palmata L. var. sororia (Willd.) Pollard;Viola;palmata;L.;var;sororia;(Willd. ) Pollard;;;
26580;Viola papilionacea Pursh;Viola;papilionacea;Pursh;;;;;;
26581;Viola pseudogracilis (A.Terracc.) Strobl ex Degen & Dörfl.;Viola;pseudogracilis;(A. Terracc. ) Strobl ex Degen & Dorfl.;;;;;;
26582;Viola pseudogracilis Strobl, non. inval. provis.;Viola;pseudogracilis;Strobl, non. inval. provis.;;;;;;
26583;Viola saxatilis F.W.Schmidt;Viola;saxatilis;F. W. Schmidt;;;;;;
26584;Viola schultzii Billot;Viola;schultzii;Billot;;;;;;
26585;Viola sirinica Ricceri & Moraldo;Viola;sirinica;Ricceri & Moraldo;;;;;;
26586;Viola splendida W.Becker;Viola;splendida;W. Becker;;;;;;
26587;Viola suavis M.Bieb. subsp. adriatica (Freyn) Hasler;Viola;suavis;M. Bieb.;subsp;adriatica;(Freyn) Hasler;;;
26588;Viola subasica (A.Terracc.) Ricceri & Moraldo, comb. inval.;Viola;subasica;(A. Terracc. ) Ricceri & Moraldo, comb. inval.;;;;;;
26589;Viola sylvatica Fr. ex Hartm. var. adunca (Sm.) Kurtz;Viola;sylvatica;Fr. ex Hartm.;var;adunca;(Sm. ) Kurtz;;;
26590;Viola tricolor L. subsp. saxatilis (F.W.Schmidt) Jan;Viola;tricolor;L.;subsp;saxatilis;(F. W. Schmidt) Jan;;;
26591;Viola tricolor L. subsp. subalpina Gaudin;Viola;tricolor;L.;subsp;subalpina;Gaudin;;;
26592;Viola vectoris Ricceri & Moraldo;Viola;vectoris;Ricceri & Moraldo;;;;;;
26593;Viola vulturis Ricceri & Moraldo;Viola;vulturis;Ricceri & Moraldo;;;;;;
26594;Viola wittrockiana Gams ex Kappert, nom. inval.;Viola;wittrockiana;Gams ex Kappert, nom. inval.;;;;;;
26595;Viola wittrockiana Gams, nom. nud.;Viola;wittrockiana;Gams, nom. nud.;;;;;;
26596;Virginea frigida (Labill.) Nicoli;Virginea;frigida;(Labill. ) Nicoli;;;;;;
26597;Virgulus ericoides (L.) Reveal & Keener;Virgulus;ericoides;(L. ) Reveal & Keener;;;;;;
26598;Virgulus ericoides auct. p.p., non (L.) Reveal & Keener;Virgulus;ericoides;auct. p. p. , non (L. ) Reveal & Keener;;;;;;
26599;Virgulus novae-angliae (L.) Reveal & Keener;Virgulus;novaeangliae;(L. ) Reveal & Keener;;;;;;
26600;Viscago viscosa (L.) Moench;Viscago;viscosa;(L. ) Moench;;;;;;
26601;Viscum abietis (Wiesb.) Fritsch;Viscum;abietis;(Wiesb. ) Fritsch;;;;;;
26602;Viscum austriacum Wiesb.;Viscum;austriacum;Wiesb.;;;;;;
26603;Viscum austriacum Wiesb. var. abietis Wiesb.;Viscum;austriacum;Wiesb.;var;abietis;Wiesb.;;;
